UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root       504     1   558  0    3 21:16 ?        00:00:00 /usr/sbin/ModemManager
message+   505     1   505  0    1 21:16 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
avahi      554     1   554  0    1 21:16 ?        00:00:00 avahi-daemon: running [kasun-VirtualBox.local]
root       555     1   555  0    1 21:16 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       559     1   559  0    3 21:16 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       559     1   623  0    3 21:16 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       559     1   628  0    3 21:16 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       560     1   560  0    1 21:16 ?        00:00:00 /usr/sbin/cupsd -l
root       569     1   569  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       569     1   578  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       569     1   580  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
avahi      584   554   584  0    1 21:16 ?        00:00:00 avahi-daemon: chroot helper
root       585     1   585  0    3 21:16 ?        00:00:00 /usr/sbin/cups-browsed
root       585     1   627  0    3 21:16 ?        00:00:00 /usr/sbin/cups-browsed
root       585     1   629  0    3 21:16 ?        00:00:00 /usr/sbin/cups-browsed
lp         622   560   622  0    1 21:16 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp         626   560   626  0    1 21:16 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root       678     1   678  0    3 21:16 ?        00:00:00 /usr/sbin/lightdm
root       678     1   680  0    3 21:16 ?        00:00:00 /usr/sbin/lightdm
root       678     1   682  0    3 21:16 ?        00:00:00 /usr/sbin/lightdm
root       691     1   691  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   692  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   693  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   694  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   695  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   696  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   697  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   698  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       702   678   702  3    2 21:16 tty7     00:00:26 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       702   678   794  0    2 21:16 tty7     00:00:01 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       707     1   707  0    1 21:16 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
whoopsie   723     1   723  0    3 21:16 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie   723     1   746  0    3 21:16 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie   723     1   747  0    3 21:16 ?        00:00:00 /usr/bin/whoopsie -f
kernoops   750     1   750  0    1 21:16 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops   753     1   753  0    1 21:16 ?        00:00:00 /usr/sbin/kerneloops
root       885   678   885  0    3 21:16 ?        00:00:00 lightdm --session-child 12 19
root       885   678   887  0    3 21:16 ?        00:00:00 lightdm --session-child 12 19
root       885   678   888  0    3 21:16 ?        00:00:00 lightdm --session-child 12 19
kasun      890     1   890  0    1 21:16 ?        00:00:00 /lib/systemd/systemd --user
kasun      891   890   891  0    1 21:16 ?        00:00:00 (sd-pam)
kasun      904     1   904  0    4 21:16 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kasun      904     1   905  0    4 21:16 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kasun      904     1   906  0    4 21:16 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kasun      904     1  1061  0    4 21:16 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kasun      908   885   908  0    1 21:16 ?        00:00:00 /bin/sh /etc/xdg/xfce4/xinitrc -- /etc/X11/xinit/xserverrc
kasun      925   890   925  0    1 21:16 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kasun     1001     1  1001  0    1 21:16 ?        00:00:00 /usr/bin/VBoxClient --clipboard
kasun     1002  1001  1002  0    2 21:16 ?        00:00:00 /usr/bin/VBoxClient --clipboard
kasun     1002  1001  1033  0    2 21:16 ?        00:00:00 /usr/bin/VBoxClient --clipboard
kasun     1011     1  1011  0    1 21:16 ?        00:00:00 /usr/bin/VBoxClient --display
kasun     1012  1011  1012  0    1 21:16 ?        00:00:00 /usr/bin/VBoxClient --display
kasun     1018     1  1018  0    1 21:16 ?        00:00:00 /usr/bin/VBoxClient --seamless
kasun     1019  1018  1019  0    2 21:16 ?        00:00:00 /usr/bin/VBoxClient --seamless
kasun     1019  1018  1020  0    2 21:16 ?        00:00:00 /usr/bin/VBoxClient --seamless
kasun     1027     1  1027  0    1 21:16 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
kasun     1028  1027  1028  0    3 21:16 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
kasun     1028  1027  1029  0    3 21:16 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
kasun     1028  1027  1031  0    3 21:16 ?        00:00:01 /usr/bin/VBoxClient --draganddrop
kasun     1034   908  1034  0    1 21:16 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch startxfce4
kasun     1052   908  1052  0    3 21:16 ?        00:00:00 xfce4-session
kasun     1052   908  1053  0    3 21:16 ?        00:00:00 xfce4-session
kasun     1052   908  1054  0    3 21:16 ?        00:00:00 xfce4-session
kasun     1056   890  1056  0    1 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/xfconf/xfconfd
kasun     1063     1  1063  0    1 21:16 ?        00:00:02 xfwm4 --replace
kasun     1067     1  1067  0    2 21:16 ?        00:00:01 xfce4-panel
kasun     1067     1  1344  0    2 21:16 ?        00:00:00 xfce4-panel
kasun     1069     1  1069  0    3 21:16 ?        00:00:01 Thunar --daemon
kasun     1069     1  1426  0    3 21:16 ?        00:00:00 Thunar --daemon
kasun     1069     1  1427  0    3 21:16 ?        00:00:00 Thunar --daemon
kasun     1071     1  1071  0    3 21:16 ?        00:00:01 xfdesktop
kasun     1071     1  1076  0    3 21:16 ?        00:00:00 xfdesktop
kasun     1071     1  1077  0    3 21:16 ?        00:00:00 xfdesktop
kasun     1073     1  1073  0    3 21:16 ?        00:00:00 xfsettingsd
kasun     1073     1  1313  0    3 21:16 ?        00:00:00 xfsettingsd
kasun     1073     1  1314  0    3 21:16 ?        00:00:00 xfsettingsd
kasun     1082  1052  1082  0    4 21:16 ?        00:00:00 update-notifier
kasun     1082  1052  1144  0    4 21:16 ?        00:00:00 update-notifier
kasun     1082  1052  1145  0    4 21:16 ?        00:00:00 update-notifier
kasun     1082  1052  1148  0    4 21:16 ?        00:00:00 update-notifier
kasun     1098   890  1098  0    4 21:16 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
kasun     1098   890  1110  0    4 21:16 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
kasun     1098   890  1111  0    4 21:16 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
kasun     1098   890  1113  0    4 21:16 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
kasun     1114  1098  1114  0    1 21:16 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
kasun     1119  1052  1119  0    4 21:16 ?        00:00:01 /usr/bin/python3 /usr/bin/blueman-applet
kasun     1119  1052  1332  0    4 21:16 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kasun     1119  1052  1333  0    4 21:16 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kasun     1119  1052  1341  0    4 21:16 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kasun     1123   890  1123  0    3 21:16 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
kasun     1123   890  1128  0    3 21:16 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
kasun     1123   890  1129  0    3 21:16 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
kasun     1149   890  1149  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd
kasun     1149   890  1152  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd
kasun     1149   890  1155  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd
kasun     1158   890  1158  0    6 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kasun     1158   890  1166  0    6 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kasun     1158   890  1167  0    6 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kasun     1158   890  1168  0    6 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kasun     1158   890  1170  0    6 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kasun     1158   890  1176  0    6 21:16 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kasun     1173  1052  1173  0    4 21:16 ?        00:00:00 nm-applet
kasun     1173  1052  1257  0    4 21:16 ?        00:00:00 nm-applet
kasun     1173  1052  1258  0    4 21:16 ?        00:00:00 nm-applet
kasun     1173  1052  1261  0    4 21:16 ?        00:00:00 nm-applet
kasun     1202  1052  1202  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kasun     1202  1052  1255  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kasun     1202  1052  1256  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kasun     1254  1052  1254  0    2 21:16 ?        00:00:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
kasun     1254  1052  1396  0    2 21:16 ?        00:00:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
kasun     1260  1052  1260  0    4 21:16 ?        00:00:00 light-locker
kasun     1260  1052  1278  0    4 21:16 ?        00:00:00 light-locker
kasun     1260  1052  1280  0    4 21:16 ?        00:00:00 light-locker
kasun     1260  1052  1281  0    4 21:16 ?        00:00:00 light-locker
