F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S   113   750     1  0  80   0 -  2558 -      ?        00:00:00 kerneloops
1 S   113   753     1  0  80   0 -  2558 -      ?        00:00:00 kerneloops
4 S     0   885   678  0  80   0 -  7421 -      ?        00:00:00 lightdm
4 S  1000   890     1  0  80   0 -  3119 ep_pol ?        00:00:00 systemd
5 S  1000   891   890  0  80   0 -  3603 -      ?        00:00:00 (sd-pam)
1 S  1000   904     1  0  80   0 - 10600 -      ?        00:00:00 gnome-keyring-d
4 S  1000   908   885  0  80   0 -   623 wait   ?        00:00:00 sh
0 S  1000   925   890  0  80   0 -  1824 ep_pol ?        00:00:00 dbus-daemon
1 S  1000  1001     1  0  80   0 -  4591 wait   ?        00:00:00 VBoxClient
1 S  1000  1002  1001  0  80   0 -  5016 rtR0Se ?        00:00:00 VBoxClient
1 S  1000  1011     1  0  80   0 -  4591 wait   ?        00:00:00 VBoxClient
1 S  1000  1012  1011  0  80   0 -  4591 poll_s ?        00:00:00 VBoxClient
1 S  1000  1018     1  0  80   0 -  4591 wait   ?        00:00:00 VBoxClient
1 S  1000  1019  1018  0  80   0 -  5012 rtR0Se ?        00:00:00 VBoxClient
1 S  1000  1027     1  0  80   0 -  4591 wait   ?        00:00:00 VBoxClient
1 S  1000  1028  1027  0  80   0 -  5141 futex_ ?        00:00:01 VBoxClient
1 S  1000  1034   908  0  80   0 -  1201 -      ?        00:00:00 ssh-agent
0 S  1000  1052   908  0  80   0 - 12195 poll_s ?        00:00:00 xfce4-session
0 S  1000  1056   890  0  80   0 -  2625 poll_s ?        00:00:00 xfconfd
0 S  1000  1063     1  0  80   0 -  8766 poll_s ?        00:00:03 xfwm4
0 S  1000  1067     1  0  80   0 - 10612 poll_s ?        00:00:02 xfce4-panel
0 S  1000  1069     1  0  80   0 - 19138 poll_s ?        00:00:02 Thunar
0 S  1000  1071     1  0  80   0 - 24957 poll_s ?        00:00:01 xfdesktop
1 S  1000  1073     1  0  80   0 - 20442 poll_s ?        00:00:00 xfsettingsd
0 S  1000  1082  1052  0  80   0 - 29412 poll_s ?        00:00:00 update-notifier
0 S  1000  1098   890  0  80   0 - 11164 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1114  1098  0  80   0 -  1704 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1119  1052  0  80   0 - 36963 poll_s ?        00:00:01 blueman-applet
0 S  1000  1123   890  0  80   0 -  7674 poll_s ?        00:00:00 at-spi2-registr
0 S  1000  1149   890  0  80   0 - 10476 poll_s ?        00:00:00 gvfsd
0 S  1000  1158   890  0  80   0 - 13009 futex_ ?        00:00:00 gvfsd-fuse
0 S  1000  1173  1052  0  80   0 - 33661 poll_s ?        00:00:00 nm-applet
0 S  1000  1202  1052  0  80   0 - 13725 poll_s ?        00:00:00 polkit-gnome-au
0 S  1000  1254  1052  0  80   0 - 12926 poll_s ?        00:00:00 applet.py
0 S  1000  1260  1052  0  80   0 - 15793 poll_s ?        00:00:00 light-locker
1 S  1000  1271     1  0  69 -11 - 91421 poll_s ?        00:00:00 pulseaudio
0 S  1000  1283   890  0  80   0 -  6619 poll_s ?        00:00:00 dconf-service
4 S   109  1305     1  0  81   1 -  5894 -      ?        00:00:00 rtkit-daemon
1 S  1000  1308     1  0  80   0 - 14009 poll_s ?        00:00:00 xfce4-power-man
4 S     0  1315     1  0  80   0 - 13522 -      ?        00:00:00 upowerd
0 S  1000  1318   890  0  80   0 - 16539 poll_s ?        00:00:00 xfce4-notifyd
0 S  1000  1338  1067  0  80   0 - 25358 poll_s ?        00:00:01 panel-1-whisker
0 S  1000  1340   890  0  80   0 - 10451 poll_s ?        00:00:00 gvfs-udisks2-vo
0 S  1000  1348  1067  0  80   0 -  7414 poll_s ?        00:00:00 panel-4-systray
0 S  1000  1349   890  0  80   0 - 10027 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1352  1067  0  80   0 - 22645 poll_s ?        00:00:00 panel-5-notific
0 S  1000  1353  1067  0  80   0 - 16240 poll_s ?        00:00:00 panel-6-indicat
0 S  1000  1354  1067  0  80   0 - 18729 poll_s ?        00:00:00 panel-7-statusn
0 S  1000  1355  1067  0  80   0 - 22706 poll_s ?        00:00:00 panel-8-power-m
0 S  1000  1359  1067  0  80   0 - 89061 poll_s ?        00:00:01 panel-9-pulseau
0 S  1000  1360   890  0  80   0 -  9546 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1364   890  0  80   0 -  9579 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1368   890  0  80   0 - 13324 poll_s ?        00:00:00 gvfs-afc-volume
0 S  1000  1386  1149  0  80   0 - 12614 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1392   890  0  80   0 -  7555 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  1405   890  0  80   0 - 12277 poll_s ?        00:00:00 indicator-messa
0 S  1000  1438   890  0  80   0 - 10284 poll_s ?        00:00:00 obexd
0 S  1000  1444     1  0  80   0 - 31583 poll_s ?        00:00:08 xfce4-terminal
4 S  1000  1576     1  0  80   0 - 47481 poll_s ?        00:00:05 sublime_text
0 S  1000  1599  1576  0  80   0 -  9991 futex_ ?        00:00:01 plugin_host
4 S  1000  1839     1  6  80   0 - 176492 poll_s ?       00:00:34 firefox
4 S  1000  1881  1839  2  80   0 - 128320 poll_s ?       00:00:10 Web Content
4 S  1000  1908  1839  0  80   0 - 98551 poll_s ?        00:00:01 WebExtensions
4 S  1000  1934  1839  3  80   0 - 122501 poll_s ?       00:00:15 Web Content
4 S  1000  1986  1839  0  80   0 - 95466 poll_s ?        00:00:00 Web Content
4 S     0  2013   559  0  80   0 -  2321 -      ?        00:00:00 dhclient
0 S  1000  2054   890  0  99  19 - 17936 poll_s ?        00:00:00 tumblerd
0 S  1000  2081  1444  0  80   0 -  2045 wait   pts/1    00:00:00 bash
4 R  1000  2098  2081  0  80   0 -  2122 -      pts/1    00:00:00 ps
